股票代码,股票名称
601519,大智慧
688343,N云天-U
002837,英维克
600961,株冶集团
688498,源杰科技
688535,C华海
688608,恒玄科技
002221,东华能源
002436,兴森科技
300620,光库科技
300706,阿石创
300709,精研科技
600416,湘电股份
603165,荣晟环保
603186,华正新材
603315,福鞍股份
002373,千方科技
002534,西子洁能
300014,亿纬锂能
300386,飞天诚信
300493,润欣科技
301221,光庭信息
601995,中金公司
603110,东方材料
603258,电魂网络
001286,C陕西能
001287,C中电港
001328,C登康
001360,C南矿
001367,C海森
002712,思美传媒
300073,当升科技
300376,易事特
300469,信息发展
300690,双一科技
300769,德方纳米
300789,唐源电气
301358,湖南裕能
600577,精达股份
601061,C中信金
601065,C江盐
601133,C柏诚
603125,C常青
603135,C中重
603877,太平鸟
605077,华康股份
688063,派能科技
688213,思特威-W
688400,凌云光
000751,锌业股份
300766,每日互动
300770,新媒股份
300987,川网传媒
600208,新湖中宝
601599,浙文影业
601928,凤凰传媒
603096,新经典
603717,天域生态
000818,航锦科技
000922,佳电股份
002857,三晖电气
300037,新宙邦
300567,精测电子
300609,汇纳科技
301060,兰卫医学
301165,锐捷网络
301231,荣信文化
600326,西藏天路
600498,烽火通信
600717,天津港
601089,福元医药
000581,威孚高科
002503,搜于特
002827,高争民爆
300556,丝路视觉
300654,世纪天鸿
300778,新城市
300859,西域旅游
300947,德必集团
300989,蕾奥规划
600392,盛和资源
600749,西藏旅游
601921,浙版传媒
688202,美迪西
300600,国瑞科技
300684,中石科技
300970,华绿生物
301048,金鹰重工
301185,鸥玛软件
600629,华建集团
600784,鲁银投资
601900,南方传媒
603168,莎普爱思
688146,N中船
688569,铁科轨道
300788,中信出版
688223,晶科能源
002478,常宝股份
002892,科力尔
300153,科泰电源
300467,迅游科技
300516,久之洋
300545,联得装备
300602,飞荣达
300997,欢乐家
301103,何氏眼科
301128,强瑞技术
301239,普瑞眼科
600267,海正药业
600651,飞乐音响
600699,均胜电子
601019,山东出版
601811,新华文轩
603199,九华旅游
603230,内蒙新华
603699,纽威股份
603768,常青股份
605117,德业股份
688032,禾迈股份
688348,昱能科技
688390,固德威
872808,曙光数创
300020,银江技术
300024,机器人
300232,洲明科技
300500,启迪设计
300857,协创数据
301293,N三博
600016,民生银行
600248,陕西建工
600748,上实发展
600757,长江传媒
601326,秦港股份
601333,广深铁路
601801,皖新传媒
601881,中国银河
601988,中国银行
603018,华设集团
603357,设计总院
688249,N晶合
000885,城发环境
301025,读客文化
301311,昆船智能
600482,中国动力
600928,西安银行
601061,中信金属
601288,农业银行
601398,工商银行
601598,中国外运
601998,中信银行
000156,华数传媒
002276,万马股份
300295,三六五网
300334,津膜科技
300426,唐德影视
600386,北巴传媒
600609,金杯汽车
600715,文投控股
603103,横店影视
000543,皖能电力
001287,中电港
300882,万胜智能
301078,孩子王
301293,三博脑科
600488,津药药业
600594,益佰制药
600795,国电电力
603073,彩蝶实业
603307,扬州金泉
603790,雅运股份
605011,杭州热电
000676,智度股份
001328,登康口腔
002157,*ST正邦
002546,新联电子
003009,中天火箭
300008,天海防务
300222,科大智能
300466,赛摩智能
300480,光力科技
300527,中船应急
300557,理工光科
300670,大烨智能
300851,交大思诺
301382,N蜂助手
301390,经纬股份
301439,泓淋电力
600310,桂东电力
600862,中航高科
603613,国联股份
603685,晨丰科技
688418,震有科技
300540,蜀道装备
300901,中胤时尚
002217,合力泰
002427,尤夫股份
002919,名臣健康
300549,优德精密
300686,智动力
301226,祥明智能
301312,智立方
301360,荣旗科技
301368,丰立智能
301428,N世纪恒
603236,移远通信
603662,柯力传感
688361,N飞测-U
000584,ST工智
002366,台海核电
300276,三丰智能
300446,乐凯新材
300514,友讯达
300836,佰奥智能
301083,百胜智能
301199,迈赫股份
301301,川宁生物
301305,N朗坤
301361,众智科技
301382,C蜂助手
600809,山西汾酒
603172,万丰股份
000410,沈阳机床
300007,汉威科技
300238,冠昊生物
300508,维宏股份
300510,金冠股份
300560,中富通
301038,深水规院
301337,N亚华
600151,航天机电
600329,达仁堂
600410,华胜天成
600719,大连热电
603869,新智认知
605162,新中港
605580,恒盛能源
688088,虹软科技
300184,力源信息
300570,太辰光
001278,一彬科技
300344,立方数科
301183,东田微
600083,博信股份
600495,晋西车轴
600505,西昌电力
600560,金自天正
600575,淮河能源
603228,景旺电子
603618,杭电股份
603803,瑞斯康达
605028,世茂能源
605118,力鼎光电
605298,必得科技
000659,珠海中富
000917,电广传媒
001282,三联锻造
300030,阳普医疗
300424,航新科技
300496,中科创达
601727,上海电气
605588,冠石科技
688322,奥比中光-UW
688562,航天软件
000802,北京文化
002177,*ST御银
002785,万里石
002993,奥海科技
300592,华凯易佰
301121,紫建电子
301387,光大同创
600823,ST世茂
603008,喜临门
603038,华立股份
603527,众源新材
603629,利通电子
603683,晶华新材
603829,洛凯股份
605288,凯迪股份
001308,康冠科技
300025,华星创业
301326,捷邦科技
600679,上海凤凰
600702,舍得酒业
601133,柏诚股份
603097,江苏华辰
000809,铁岭新城
002055,得润电子
002122,汇洲智能
002247,聚力文化
002880,卫光生物
300949,奥雅股份
301323,N新莱福
301399,英特科技
605178,时空科技
000099,中信海直
300757,罗博特科
300921,南凌科技
300960,通业科技
301282,金禄电子
301366,一博科技
603608,天创时尚
000663,永安林业
002130,沃尔核材
002146,荣盛发展
002366,融发核电
002849,威星智能
300175,朗源股份
301186,超达装备
301192,泰祥股份
301252,同星科技
600278,东方创业
600469,风神股份
600676,交运股份
603019,XD中科曙
603033,三维股份
603268,松发股份
605151,西上海
000616,*ST海投
001323,慕思股份
002050,三花智控
002355,兴民智通
002552,宝鼎科技
002960,青鸟消防
300100,双林股份
300711,广哈通信
300807,天迈科技
301007,德迈仕
301133,金钟股份
600262,北方股份
603190,亚通精工
603679,华体科技
000753,漳州发展
000757,浩物股份
000952,广济药业
301159,三维天地
600059,古越龙山
600103,青山纸业
600601,方正科技
600616,金枫酒业
600726,华电能源
601065,江盐集团
603159,上海亚虹
603333,尚纬股份
603630,拉芳家化
688313,仕佳光子
603079,圣达生物
603915,国茂股份
002823,凯中精密
002833,弘亚数控
301225,N恒勃
301255,通力科技
301299,卓创资讯
600148,长春一东
600215,派斯林
603767,中马传动
688472,阿特斯
000036,华联控股
300657,弘信电子
300823,建科机械
600157,永泰能源
603727,博迈科
688662,富信科技
300526,中潜退
301123,奕东电子
603118,共进股份
603269,海鸥股份
605068,明新旭腾
300726,宏达电子
300969,恒帅股份
600391,航发科技
600592,龙溪股份
600979,广安爱众
603267,鸿远电子
603489,八方股份
603666,亿嘉和
603678,火炬电子
603863,松炀资源
603879,永悦科技
603988,中电电机
688160,步科股份
688165,埃夫特-U
688443,N智翔-U
002590,万安科技
002851,麦格米特
300258,精锻科技
300460,惠伦晶体
300680,隆盛科技
301315,N威士顿
600710,苏美达
603040,新坐标
603788,宁波高发
688097,博众精工
301191,菲菱科思
688101,三达膜
605319,无锡振华
002076,星光股份
002254,泰和新材
002418,康盛股份
002832,比音勒芬
002899,英派斯
002930,宏川智慧
300423,昇辉科技
600691,阳煤化工
600992,XD贵绳股
688047,龙芯中科
000020,深华发Ａ
001360,南矿集团
002283,天润工业
002893,京能热力
300270,中威电子
300475,香农芯创
300817,双飞股份
300879,大叶股份
301072,中捷精工
301099,雅创电子
301141,中科磁业
301163,宏德股份
301229,纽泰格
301298,东利机械
301398,星源卓镁
301486,C致尚
600239,云南城投
600310,广西能源
600578,京能电力
600642,申能股份
601567,三星医疗
601985,中国核电
603037,凯众股份
603045,福达合金
000004,国华网安
002026,山东威达
002413,雷科防务
002535,林州重机
002977,天箭科技
300127,银河磁体
300342,天银机电
300455,航天智装
301039,中集车辆
301261,C恒工
600480,凌云股份
603677,奇精机械
688535,华海诚科
000550,江铃汽车
001373,翔腾新材
002310,东方园林
002943,宇晶股份
300032,金龙机电
300231,银信科技
300457,赢合科技
300864,南大环境
300868,杰美特
300945,曼卡龙
301152,天力锂能
301262,海看股份
301315,威士顿
301338,凯格精机
301379,天山电子
301505,N苏州规
600135,乐凯胶片
603000,XD人民网
603220,中贝通信
603948,建业股份
688095,福昕软件
688563,N航材
000413,东旭光电
000793,华闻集团
000897,津滨发展
001210,金房能源
002968,新大正
300528,幸福蓝海
300601,康泰生物
300877,金春股份
301098,金埔园林
301281,科源制药
301381,赛维时代
301499,N维科精
301505,C苏州规
600159,大龙地产
601888,XD中国中
000889,ST中嘉
002929,润建股份
300649,杭州园林
600872,中炬高新
688271,联影医疗
000923,河钢资源
300106,西部牧业
300172,中电环保
300541,先进数通
301320,豪江智能
301421,波长光电
301487,盟固利
600540,新赛股份
600753,庚星股份
600792,云煤能源
601666,平煤股份
603080,新疆火炬
603216,梦天家居
603270,N金帝
603667,五洲新春
000801,四川九洲
000859,国风新材
001296,长江材料
002455,百川股份
300053,航宇微
300098,高新兴
300256,星星科技
300331,苏大维格
300537,广信材料
300581,晨曦航空
300691,联合光电
300803,指南针
300904,威力传动
300936,中英科技
300965,恒宇信通
300990,同飞股份
301013,利和兴
301036,双乐股份
600114,东睦股份
600189,泉阳泉
600360,华微电子
600850,电科数字
605365,立达信
688039,当虹科技
688259,创耀科技
688549,N中巨芯-U
688592,司南导航
000010,美丽生态
000046,*ST泛海
000592,平潭发展
000752,*ST西发
000881,中广核技
002102,冠福股份
002433,*ST太安
300006,莱美药业
300149,睿智医药
300200,高盟新材
300255,常山药业
300300,海峡创新
300909,汇创达
300939,秋田微
301307,美利信
301419,阿莱德
301550,N斯菱
600155,华创云信
600186,莲花健康
600203,福日电子
601188,龙江交通
603160,汇顶科技
603607,京华激光
000921,海信家电
300504,天邑股份
300637,扬帆新材
300971,博亚精工
600864,哈投股份
600877,电科芯片
601518,吉林高速
603075,热威股份
603162,海通发展
603270,金帝股份
832149,利尔达
001324,长青科技
002145,中核钛白
002776,*ST柏龙
002808,ST恒久
300630,普利制药
300765,新诺威
301509,金凯生科
301548,C崇德
600365,ST通葡
603161,科华控股
603987,康德莱
002375,亚厦股份
300169,天晟新材
300432,富临精工
300461,田中精机
301042,安联锐视
301139,元道通信
603206,嘉环科技
688609,九联科技
000622,恒立实业
002025,航天电器
002038,双鹭药业
002922,伊戈尔
300322,硕贝德
300351,永贵电器
300547,川环科技
300968,格林精密
301225,恒勃股份
301558,N三态
603023,威帝股份
603890,春秋电子
300341,麦克奥迪
300347,泰格医药
000697,*ST炼石
001239,永达股份
002108,沧州明珠
300093,金刚光伏
300233,金城医药
300530,领湃科技
300538,同益股份
300699,光威复材
300799,*ST左江
301069,凯盛新材
301076,新瀚新材
600178,东安动力
600234,科新发展
601083,锦江航运
601096,N宏盛
603090,宏盛股份
603158,腾龙股份
603193,润本股份
603332,苏州龙杰
603389,亚振家居
603615,茶花股份
603729,龙韵股份
603836,海程邦达
688065,凯赛生物
688639,华恒生物
000532,华金资本
000691,亚太实业
002002,ST鸿达
002421,达实智能
002966,苏州银行
300219,鸿利智汇
301337,亚华电子
301503,智迪科技
301511,德福科技
301526,国际复材
600200,江苏吴中
600322,津投城开
600362,江西铜业
600506,统一股份
600805,悦达投资
600844,丹化科技
601096,宏盛华源
601166,兴业银行
601528,瑞丰银行
603004,鼎龙科技
603065,宿迁联盛
605158,华达新材
002981,朝阳科技
300221,银禧科技
300304,云意电气
605056,咸亨国际
000523,红棉股份
000628,高新发展
000861,海印股份
000982,中银绒业
002211,宏达新材
002356,赫美集团
002610,爱康科技
300373,扬杰科技
300405,科隆股份
300623,捷捷微电
600565,迪马股份
600824,益民集团
600828,茂业商业
603192,汇得科技
603276,恒兴新材
603312,C西典
603398,沐邦高科
603518,锦泓集团
605069,正和生态
605111,新洁能
000852,石化机械
002570,贝因美
600735,新华锦
601966,玲珑轮胎
000554,泰山石油
002731,萃华珠宝
301567,C贝隆
600053,九鼎投资
600400,红豆股份
603586,金麒麟
603603,*ST博天
605155,西大门
000538,云南白药
002521,齐峰新材
002699,*ST美盛
600319,亚星化学
601033,N永兴
605255,天普股份
001379,C腾达
001387,雪祺电气
300269,联建光电
300763,锦浪科技
600935,华塑股份
601033,C永兴
601113,华鼎股份
603600,永艺股份
603661,恒林股份
000972,中基健康
001208,华菱线缆
002797,第一创业
301469,恒达新材
301502,N华阳智
600692,亚通股份
603682,锦和商管
603901,永创智能
603960,克来机电
605318,法狮龙
002158,汉钟精机
002312,川发龙蟒
300316,晶盛机电
300478,杭州高新
301589,N诺瓦
600797,浙大网新
688475,萤石网络
000791,甘肃能源
001696,宗申动力
001979,招商蛇口
002023,海特高新
002092,中泰化学
002438,江苏神通
300155,安居宝
300159,新研股份
300162,雷曼光电
300554,三超新材
300641,正丹股份
300644,南京聚隆
300719,安达维尔
300732,设研院
300737,科顺股份
300776,帝尔激光
300843,胜蓝股份
301591,肯特股份
600649,城投控股
600711,盛屯矿业
600714,金瑞矿业
600876,凯盛新能
601212,白银有色
603125,常青科技
603506,南都物业
688015,交控科技
688170,德龙激光
688603,天承科技
000016,深康佳Ａ
000901,航天科技
000981,山子高科
001379,腾达科技
002102,能特科技
002313,日海智能
002611,东方精工
002829,星网宇达
300078,思创医惠
300128,锦富技术
300284,苏交科
300381,溢多利
600213,*ST亚星
600216,浙江医药
600561,江西长运
600611,大众交通
600635,大众公用
600770,综艺股份
600811,东方集团
600843,上工申贝
603278,大业股份
603373,安邦护卫
603900,莱绅通灵
002416,爱施德
300099,尤洛卡
300125,ST聆达
300329,海伦钢琴
300338,*ST开元
301213,观想科技
301565,中仑新材
600250,南京商旅
600650,锦江在线
600696,岩石股份
603939,益丰药房
300040,九洲集团
300102,乾照光电
300265,通光线缆
300615,欣天科技
300762,上海瀚讯
301136,招标股份
600316,洪都航空
600711,ST盛屯
600775,南京熊猫
600969,郴电国际
603028,赛福天
000062,深圳华强
000908,*ST景峰
300131,英唐智控
300318,博晖创新
300371,汇中股份
300531,优博讯
300622,博士眼镜
300639,凯普生物
300642,透景生命
300972,万辰集团
301182,凯旺科技
301288,清研环境
301568,思泰克
301578,辰奕智能
301611,N珂玛
601020,华钰矿业
603324,盛剑科技
603458,勘设股份
603517,绝味食品
000601,韶能股份
000711,ST京蓝
002150,正泰电源
002202,金风科技
002309,中利集团
002310,东方新能
002470,金正大
002730,电光科技
300185,通裕重工
300724,捷佳伟创
300751,迈为股份
301658,首航新能
600143,金发科技
600396,华电辽能
600604,市北高新
600617,国新能源
600666,奥瑞德
600759,洲际油气
600930,华电新能
601330,绿色动力
603026,石大胜华
603381,永臻股份
603659,璞泰来
603687,大胜达
603778,国晟科技
605050,福然德
605099,共创草坪
000695,滨海能源
002265,建设工业
002361,神剑股份
002386,天原股份
002756,永兴材料
300054,鼎龙股份
300390,天华新能
301292,海科新源
600227,赤天化
600513,联环药业
600727,鲁北化工
600844,金煤科技
603248,锡华科技
603387,基蛋生物
603399,永杉锂业
603601,再升科技
600029,南方航空
600297,广汇汽车
